attribute_name,predicted,true,count
INPUT SIGNAL,BACNET MS/TP,PROPORTIONAL,20
INPUT SIGNAL,ON/OFF & FLOATING POINT,PROGRAMMABLE,366
INPUT SIGNAL,On/Off,On/Off,12
INPUT SIGNAL,PROGRAMMABLE,FLOATING POINT,1
INPUT SIGNAL,PROGRAMMABLE,ON/OFF,1
INPUT SIGNAL,FLOATING POINT,PROGRAMMABLE,2
INPUT SIGNAL,MODBUS RTU,MODBUS RTU,19
INPUT SIGNAL,MODBUS RTU,PROPORTIONAL,13
INPUT SIGNAL,BACNET IP,BACNET IP,4
INPUT SIGNAL,MODBUS TCP,MODBUS TCP,2
CONNECTION,FEMALE NPT,00.125 IN.,2
CONNECTION,UNION SWEAT,FEMALE THREAD,1
CONNECTION,FEMALE NPT,FEMALE NPT,2920
CONNECTION,0.25 IN. FEMALE NPS,0.25 IN. MALE NPT,3
CONNECTION,LUG,LUG,595
CONNECTION,0.25 IN. FEMALE NPS,0.125 IN. FEMALE NPT,14
CONNECTION,THREADLESS,00.50 IN. NPT,10
CONNECTION,0.25 IN. FEMALE NPT,0.25 IN. FEMALE NPS,1
CONNECTION,14-BLADE PLUG-IN,14-BLADE PLUG-IN,5
CONNECTION,,0.25 IN. MALE NPT,1
CONNECTION,ANSI 300 FLANGE,00.25 IN.,1
CONNECTION,,00.375 IN.,1
CONNECTION,11-BLADE PLUG-IN,11-BLADE PLUG-IN,1
CONNECTION,0.25 IN. FEMALE NPT,0.25 IN. FEMALE NPT,1
CONNECTION,VICTAULIC,VICTAULIC,17
CONNECTION,Sweat,Sweat,37
CONNECTION,SWEAT,SWEAT,81
CONNECTION,ANSI 250 FLANGE,ANSI 125 FLANGE,61
CONNECTION,FLANGE,ANSI 125 FLANGE,59
CONNECTION,FLANGE,FLANGE,17
CONNECTION,FLARED,FEMALE NPT IN | MALE UNION OUT,4
CONNECTION,FLARED,FEMALE NPT,1
CONNECTION,ANSI 250 FLANGE,FEMALE NPT,18
CONNECTION,FEMALE NPT,ANSI 250 FLANGE,4
CONNECTION,ANSI 250 FLANGE,ANSI 250 FLANGE,55
CONNECTION,FEMALE NPT,ANSI 125 FLANGE,7
CONNECTION,FLANGE,ANSI 250 FLANGE,6
CONNECTION,FLANGE,FEMALE NPT,56
CONNECTION,0.4375 IN. FEMALE NPT,0.25 IN. BARBED,3
CONNECTION,ANGLE FEMALE NPT | MALE NPT UNION,ANGLE FEMALE NPT | MALE NPT UNION,2
CONNECTION,ANSI 150 FLANGE,ANSI 150 FLANGE,93
CONNECTION,00.125 IN.,00.125 IN.,3
CONNECTION,0.25 IN. FEMALE NPS,0.50 IN. FEMALE NPT,3
CONNECTION,4 PIN BARREL,NONE,2
CONNECTION,UNION GLOBE,UNION GLOBE,7
CONNECTION,UNION SWEAT,UNION SWEAT,5
CONNECTION,FLANGE,ANGLE FEMALE x UNION MALE,4
CONNECTION,00.75 IN.,00.75 IN.,2
CONNECTION,FLANGE,00.75 IN.,1
CONNECTION,0.4375 IN. FEMALE NPT,00.25 IN. NPT,1
CONNECTION,ANSI 300 FLANGE,FEMALE NPT,1
CONNECTION,8-PIN OCTAL BASE,8-PIN OCTAL BASE,4
CONNECTION,11-PIN OCTAL BASE,11-PIN OCTAL BASE,1
CONNECTION,,SCREW TERMINALS,1
CONNECTION,THREADLESS,00.75 IN. NPT,1
CONNECTION,SCREW TERMINALS,SCREW TERMINALS,1
CONNECTION,INVERTED FLARE,INVERTED FLARE,5
CONNECTION,THREADED RP,FEMALE NPT,1
CONNECTION,00.25 IN. NPT,00.25 IN. NPT,5
CONNECTION,,01.00 IN.,1
CONNECTION,UNION STRAIGHT NPT,UNION STRAIGHT NPT,4
CONNECTION,SAE FLARE,SAE FLARE,1
CONNECTION,ANGLE MALE x FEMALE NPT,FEMALE NPT,1
CONNECTION,FEMALE NPT,ANGLE MALE x FEMALE NPT,1
CONNECTION,THREADED RP,INVERTED FLARE,2
CONNECTION,FLARED,SAE FLARE,1
CONNECTION,THREADED RP,THREADED RP,8
CONNECTION,THREADED RP,SWEAT,3
CONNECTION,VICTAULIC,LUG,1
CONNECTION,THREADLESS,00.50 IN. BSPT,1
CONNECTION,00.75 IN.,01.25 IN.,1
CONNECTION,00.75 IN.,01.50 IN.,1
CONNECTION,00.75 IN.,02.00 IN.,1
CONNECTION,,0.25 IN. FEMALE NPT,1
CONNECTION,,FEMALE NPT,1
CONNECTION,FEMALE NPT x FEMALE NPT,FEMALE NPT x FEMALE NPT,27
CONNECTION,FLARED,FEMALE NPT x FEMALE NPT,1
CONNECTION,FLANGE,FEMALE NPT x UNION MALE,17
CONNECTION,FEMALE NPT,FEMALE NPT x UNION FEMALE,2
CONNECTION,UNION MALE,UNION MALE,12
CONNECTION,ANGLE FEMALE NPT x UNION MALE,ANGLE FEMALE NPT x UNION MALE,2
